CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,ID_ESCOLA
,,,,,,,1
2927408.0,Salvador,29.0,BA,2.0,1.0,1.0,2
3547304.0,Santana de Parnaíba,35.0,SP,3.0,1.0,1.0,3
2910800.0,Feira de Santana,29.0,BA,2.0,1.0,1.0,4
1302009.0,Itapiranga,13.0,AM,2.0,1.0,1.0,5
2207009.0,Oeiras,22.0,PI,1.0,1.0,1.0,6
5108402.0,Várzea Grande,51.0,MT,2.0,1.0,1.0,7
3513603.0,Cunha,35.0,SP,2.0,1.0,1.0,8
3302007.0,Itaguaí,33.0,RJ,1.0,1.0,1.0,9
5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,10
2311603.0,Redenção,23.0,CE,2.0,1.0,1.0,11
2202000.0,Buriti dos Lopes,22.0,PI,2.0,1.0,1.0,12
3106200.0,Belo Horizonte,31.0,MG,2.0,1.0,1.0,13
3202405.0,Guarapari,32.0,ES,2.0,1.0,1.0,14
3304557.0,Rio de Janeiro,33.0,RJ,2.0,1.0,1.0,15
4313102.0,Nova Palma,43.0,RS,2.0,1.0,1.0,16
2704302.0,Maceió,27.0,AL,2.0,1.0,1.0,17
3200607.0,Aracruz,32.0,ES,4.0,1.0,1.0,18
4214805.0,Rio do Sul,42.0,SC,2.0,1.0,1.0,19
2304400.0,Fortaleza,23.0,CE,2.0,1.0,1.0,20
4202404.0,Blumenau,42.0,SC,2.0,1.0,1.0,21
4106902.0,Curitiba,41.0,PR,2.0,1.0,1.0,22
2405801.0,João Câmara,24.0,RN,2.0,1.0,1.0,23
3145604.0,Oliveira,31.0,MG,2.0,1.0,1.0,24
2800308.0,Aracaju,28.0,SE,2.0,1.0,1.0,25
2507507.0,João Pessoa,25.0,PB,2.0,1.0,1.0,26
3552205.0,Sorocaba,35.0,SP,2.0,1.0,1.0,27
2905701.0,Camaçari,29.0,BA,2.0,1.0,1.0,28
1100205.0,Porto Velho,11.0,RO,2.0,1.0,1.0,29
2207702.0,Parnaíba,22.0,PI,2.0,1.0,1.0,30
3201506.0,Colatina,32.0,ES,1.0,2.0,1.0,31
3515004.0,Embu das Artes,35.0,SP,2.0,1.0,1.0,32
2610707.0,Paulista,26.0,PE,2.0,1.0,1.0,33
1600303.0,Macapá,16.0,AP,2.0,1.0,1.0,34
1500602.0,Altamira,15.0,PA,2.0,1.0,1.0,35
5201405.0,Aparecida de Goiânia,52.0,GO,2.0,1.0,1.0,36
3205309.0,Vitória,32.0,ES,2.0,1.0,1.0,37
2111300.0,São Luís,21.0,MA,2.0,1.0,1.0,38
3303401.0,Nova Friburgo,33.0,RJ,2.0,1.0,1.0,39
